id,x0_m,y0_m,vx0_mps,vy0_mps,desired_speed_mps,model_side_sign,goal_x_m,goal_y_m
21,7.28804000,-7.58829000,-0.27605000,0.31660000,1.91407137,-1,-7.02216932,7.40399197
22,-7.15070000,-7.17711000,0.20630000,0.33380000,3.20000000,1,7.41657068,6.99281197
23,8.00732000,-6.62179000,-0.20115000,0.29675000,1.80176230,-1,-7.74144932,6.43749197
24,8.98908000,-5.05375000,-0.32310000,0.28150000,3.20000000,-1,-8.72320932,4.86945197
25,-8.83231000,-4.84165000,0.39755000,0.21405000,1.70304176,-1,9.09818068,4.65735197
26,9.90535000,-1.98577000,-0.47640000,0.09715000,1.80880000,1,-9.63947932,1.80147197
27,10.08250000,-1.12829000,-0.18500000,-0.02730000,2.29473410,1,-9.81662932,0.94399197
28,-9.91755000,-0.14192200,0.31470000,-0.02593000,2.40299144,1,10.18342068,-0.04237603
29,-9.90155000,0.81472700,0.79395000,-0.16495500,3.11864147,1,10.16742068,-0.99902503
30,10.09820000,1.75189000,-1.07125000,-0.38255000,3.20000000,-1,-9.83232932,-1.93618803
31,-9.74345000,1.82757000,0.58445000,0.02685000,3.20000000,-1,10.00932068,-2.01186803
32,9.99413000,2.87824000,-0.39250000,-0.34730000,3.20000000,-1,-9.72825932,-3.06253803
33,-9.63965000,2.67609000,0.13410000,0.02200000,1.72835289,1,9.90552068,-2.86038803
34,-9.26086000,3.71106000,-0.00540000,0.00730000,1.67447611,1,9.52673068,-3.89535803
35,8.67848000,5.72434000,-0.09675000,-0.07490000,1.76154923,1,-8.41260932,-5.90863803
36,-8.32388000,5.60496000,0.16110000,-0.06620000,1.42004082,1,8.58975068,-5.78925803
37,5.75595000,8.39699000,-0.31545000,-0.10195000,1.59007840,1,-5.49007932,-8.58128803
38,-6.33670000,7.68030000,0.02275000,-0.27810000,1.71551582,1,6.60257068,-7.86459803
39,-4.79066000,8.76048000,0.34440000,-0.28115000,1.60416899,1,5.05653068,-8.94477803
40,-0.95341600,-9.93643000,0.25468500,0.39800000,1.93949904,-1,1.21928668,9.75213197
41,0.95924200,-10.03300000,0.11950500,0.75180000,3.07766940,1,-0.69337132,9.84870197
42,-0.01973490,-9.87876000,-0.09392400,0.82935000,2.71884313,-1,0.28560558,9.69446197
43,4.74037000,-8.93502000,-0.11305000,0.50215000,1.85386495,-1,-4.47449932,8.75072197
44,-6.33933000,-7.80182000,0.50255000,0.69790000,2.82528114,1,6.60520068,7.61752197
45,8.52765000,-5.80119000,-0.19750000,0.18570000,1.95547720,-1,-8.26177932,5.61689197
46,-8.38745000,-5.60041000,0.19290000,-0.01875000,2.13912118,-1,8.65332068,5.41611197
47,9.45428000,-4.09715000,-0.27555000,-0.05245000,1.80473809,1,-9.18840932,3.91285197
48,-9.73837000,-1.99660000,0.37280000,0.03775000,1.36368770,1,10.00424068,1.81230197
49,-9.77863000,-0.93484400,0.23890000,0.04206500,1.98348832,-1,10.04450068,0.75054597
50,9.91888000,-0.19677700,-0.38005000,0.02824000,2.90753827,1,-9.65300932,0.01247897
51,8.91674000,4.92010000,-0.38930000,-0.20270000,2.01118669,1,-8.65086932,-5.10439803
52,-7.73322000,6.34955000,0.23760000,-0.16290000,1.41495665,1,7.99909068,-6.53384803
53,6.37662000,7.86969000,-0.16720000,-0.22590000,2.06365573,-1,-6.11074932,-8.05398803
54,4.47335000,8.62397000,-0.83260000,-1.48985000,3.19129558,-1,-4.20747932,-8.80826803
55,3.81795000,9.30085000,-0.36775000,-0.15190000,3.20000000,-1,-3.55207932,-9.48514803
56,-5.53409000,8.34621000,0.09365000,-0.22940000,1.67287594,-1,5.79996068,-8.53050803
57,2.87549000,9.47752000,-0.10120000,-0.32430000,1.48285996,1,-2.60961932,-9.66181803
58,1.94438000,9.77799000,-0.10290000,-0.49900000,1.58925666,1,-1.67850932,-9.96228803
59,-3.13030000,9.48137000,0.11855000,-0.36740000,1.60090281,1,3.39617068,-9.66566803
60,-1.08262000,9.81085000,-0.02050000,-0.24745000,2.75188208,1,1.34849068,-9.99514803
61,-0.09997590,9.74444000,-0.06311550,-0.25830000,1.11864096,-1,0.36584658,-9.92873803
62,0.99620600,9.70933000,-0.12593000,-0.66980000,1.97003537,1,-0.73033532,-9.89362803
63,-9.14220000,-3.87768000,0.15485000,0.03900000,2.34346672,1,9.40807068,3.69338197
64,-4.05761000,9.21945000,-0.16225000,-0.22515000,1.48180940,-1,4.32348068,-9.40374803
