split,scene_id,observation_index,side_m,visible_neighbours,occupied_cells,multi_neighbour_cells
train,23,5,8.0,21,11,6
train,23,6,2.0,1,1,0
train,23,6,4.0,6,6,0
train,23,6,8.0,21,11,7
train,23,7,2.0,1,1,0
train,23,7,4.0,6,6,0
train,23,7,8.0,22,11,7
train,24,0,2.0,2,2,0
train,24,0,4.0,8,6,2
train,24,0,8.0,28,14,8
train,24,1,2.0,2,2,0
train,24,1,4.0,9,7,2
train,24,1,8.0,30,14,9
train,24,2,2.0,2,2,0
train,24,2,4.0,11,8,3
train,24,2,8.0,30,14,9
train,24,3,2.0,2,2,0
train,24,3,4.0,12,9,3
train,24,3,8.0,31,14,9
train,24,4,2.0,2,2,0
train,24,4,4.0,13,9,3
train,24,4,8.0,32,14,8
train,24,5,2.0,2,2,0
train,24,5,4.0,13,9,3
train,24,5,8.0,34,14,10
train,24,6,2.0,3,3,0
train,24,6,4.0,13,10,3
train,24,6,8.0,35,14,9
train,24,7,2.0,3,3,0
train,24,7,4.0,13,10,3
train,24,7,8.0,34,14,8
train,25,0,2.0,2,2,0
train,25,0,4.0,6,5,1
train,25,0,8.0,22,11,7
train,25,1,2.0,2,2,0
train,25,1,4.0,7,6,1
train,25,1,8.0,24,11,7
train,25,2,2.0,2,2,0
train,25,2,4.0,7,5,2
train,25,2,8.0,25,11,7
train,25,3,2.0,2,2,0
train,25,3,4.0,7,5,2
train,25,3,8.0,26,11,7
train,25,4,2.0,3,3,0
train,25,4,4.0,8,7,1
train,25,4,8.0,27,11,8
train,25,5,2.0,3,3,0
train,25,5,4.0,8,7,1
train,25,5,8.0,28,12,8
train,25,6,2.0,3,3,0
train,25,6,4.0,9,8,1
train,25,6,8.0,30,12,10
train,25,7,2.0,3,3,0
train,25,7,4.0,12,10,2
train,25,7,8.0,30,12,10
train,26,0,2.0,1,1,0
train,26,0,4.0,4,3,1
train,26,0,8.0,16,8,5
train,26,1,2.0,1,1,0
train,26,1,4.0,4,4,0
train,26,1,8.0,15,7,5
train,26,2,2.0,1,1,0
train,26,2,4.0,4,4,0
train,26,2,8.0,15,8,5
train,26,3,2.0,1,1,0
train,26,3,4.0,4,3,1
train,26,3,8.0,17,8,5
train,26,4,2.0,1,1,0
train,26,4,4.0,3,3,0
train,26,4,8.0,16,8,4
train,26,5,2.0,0,0,0
train,26,5,4.0,5,3,2
train,26,5,8.0,17,8,4
train,26,6,2.0,0,0,0
train,26,6,4.0,6,5,1
train,26,6,8.0,18,9,5
train,26,7,2.0,0,0,0
train,26,7,4.0,5,4,1
train,26,7,8.0,19,9,6
train,27,0,2.0,1,1,0
train,27,0,4.0,8,7,1
train,27,0,8.0,23,11,9
train,27,1,2.0,1,1,0
train,27,1,4.0,8,8,0
train,27,1,8.0,25,11,9
train,27,2,2.0,1,1,0
train,27,2,4.0,8,7,1
train,27,2,8.0,26,11,9
train,27,3,2.0,1,1,0
train,27,3,4.0,10,8,1
train,27,3,8.0,28,11,7
train,27,4,2.0,2,2,0
train,27,4,4.0,10,10,0
train,27,4,8.0,27,10,8
train,27,5,2.0,2,2,0
train,27,5,4.0,9,9,0
train,27,5,8.0,25,11,7
train,27,6,2.0,2,2,0
train,27,6,4.0,9,8,1
train,27,6,8.0,24,12,6
train,27,7,2.0,2,2,0
train,27,7,4.0,10,9,1
train,27,7,8.0,26,11,8
train,28,0,2.0,3,3,0
train,28,0,4.0,12,9,3
train,28,0,8.0,35,14,11
train,28,1,2.0,5,5,0
train,28,1,4.0,12,9,2
train,28,1,8.0,36,14,11
train,28,2,2.0,5,5,0
train,28,2,4.0,12,9,2
train,28,2,8.0,36,14,10
train,28,3,2.0,5,5,0
train,28,3,4.0,12,9,2
train,28,3,8.0,36,14,10
train,28,4,2.0,5,5,0
train,28,4,4.0,14,9,4
train,28,4,8.0,38,15,10
train,28,5,2.0,5,4,1
train,28,5,4.0,14,10,4
train,28,5,8.0,38,15,10
train,28,6,2.0,4,4,0
train,28,6,4.0,14,9,5
train,28,6,8.0,37,14,11
train,28,7,2.0,4,4,0
train,28,7,4.0,13,10,3
train,28,7,8.0,40,13,11
train,29,0,2.0,3,3,0
train,29,0,4.0,11,9,2
train,29,0,8.0,31,12,9
train,29,1,2.0,4,4,0
train,29,1,4.0,11,9,2
train,29,1,8.0,31,12,8
train,29,2,2.0,4,4,0
train,29,2,4.0,11,8,3
train,29,2,8.0,33,12,10
train,29,3,2.0,5,5,0
train,29,3,4.0,11,9,2
train,29,3,8.0,34,13,10
train,29,4,2.0,5,5,0
train,29,4,4.0,11,10,1
train,29,4,8.0,33,13,10
train,29,5,2.0,4,4,0
train,29,5,4.0,12,10,2
train,29,5,8.0,33,13,9
train,29,6,2.0,5,4,1
train,29,6,4.0,12,9,2
train,29,6,8.0,33,13,9
train,29,7,2.0,5,4,1
train,29,7,4.0,12,9,2
train,29,7,8.0,34,13,8
train,30,0,2.0,0,0,0
train,30,0,4.0,5,5,0
train,30,0,8.0,20,10,6
train,30,1,2.0,0,0,0
train,30,1,4.0,4,4,0
train,30,1,8.0,22,10,6
train,30,2,2.0,0,0,0
train,30,2,4.0,3,3,0
train,30,2,8.0,23,9,7
train,30,3,2.0,0,0,0
train,30,3,4.0,4,2,1
train,30,3,8.0,21,9,7
train,30,4,2.0,0,0,0
train,30,4,4.0,4,2,1
train,30,4,8.0,21,9,7
train,30,5,2.0,0,0,0
train,30,5,4.0,4,2,1
train,30,5,8.0,20,9,7
train,30,6,2.0,0,0,0
train,30,6,4.0,4,3,1
train,30,6,8.0,20,10,5
train,30,7,2.0,0,0,0
train,30,7,4.0,2,2,0
train,30,7,8.0,22,9,6
train,31,0,2.0,2,2,0
train,31,0,4.0,10,8,2
train,31,0,8.0,27,12,7
train,31,1,2.0,2,2,0
train,31,1,4.0,9,6,2
train,31,1,8.0,29,12,7
train,31,2,2.0,1,1,0
train,31,2,4.0,9,7,2
train,31,2,8.0,30,12,8
train,31,3,2.0,1,1,0
train,31,3,4.0,10,7,3
train,31,3,8.0,29,11,6
train,31,4,2.0,2,2,0
train,31,4,4.0,9,7,2
train,31,4,8.0,28,10,7
train,31,5,2.0,1,1,0
train,31,5,4.0,9,6,2
train,31,5,8.0,28,10,7
train,31,6,2.0,1,1,0
train,31,6,4.0,9,7,1
train,31,6,8.0,26,11,6
train,31,7,2.0,2,2,0
train,31,7,4.0,9,6,2
train,31,7,8.0,24,10,6
train,32,0,2.0,4,4,0
train,32,0,4.0,13,10,3
train,32,0,8.0,39,14,10
train,32,1,2.0,4,4,0
train,32,1,4.0,13,10,3
train,32,1,8.0,41,14,10
train,32,2,2.0,4,4,0
train,32,2,4.0,14,10,3
train,32,2,8.0,43,13,11
train,32,3,2.0,4,4,0
train,32,3,4.0,14,10,3
train,32,3,8.0,44,15,10
train,32,4,2.0,5,5,0
train,32,4,4.0,13,10,2
train,32,4,8.0,44,15,11
train,32,5,2.0,6,6,0
train,32,5,4.0,16,10,4
train,32,5,8.0,44,15,11
train,32,6,2.0,5,5,0
train,32,6,4.0,16,10,5
train,32,6,8.0,43,15,11
train,32,7,2.0,5,5,0
train,32,7,4.0,16,10,5
train,32,7,8.0,43,15,11
