variant,scene_id,seed,primary_id,ADE_delta,FDE_delta
large_grid,70,44,33,0.004906296730041504,-0.04869532585144043
large_grid,71,44,49,-0.2589229643344879,-0.5463769435882568
large_grid,72,44,1,-0.18126130104064941,-0.32544755935668945
large_grid,73,44,17,-0.12742376327514648,-0.3496122360229492
large_grid,74,44,33,-0.004504293203353882,-0.008386075496673584
large_grid,75,44,49,-0.11028426885604858,-0.20373439788818337
large_grid,76,44,1,-0.08191114664077759,-0.18365561962127686
large_grid,77,44,17,-0.14357197284698486,-0.3893219828605653
large_grid,78,44,33,0.0017322301864624023,-0.004724383354187012
large_grid,79,44,49,-0.1288926601409912,-0.295180082321167
sum_pool,68,42,1,0.05871516466140747,0.03602337837219238
sum_pool,69,42,17,0.11554068326950073,0.06658792495727539
sum_pool,70,42,33,0.16746997833251953,0.3225204348564148
sum_pool,71,42,49,0.05335426330566406,0.05699348449707031
sum_pool,72,42,1,0.00569307804107666,-0.05824410915374756
sum_pool,73,42,17,0.14138758182525635,0.16913831233978271
sum_pool,74,42,33,0.1950882375240326,0.34052222967147827
sum_pool,75,42,49,0.17621105909347523,0.3089815378189087
sum_pool,76,42,1,0.06723427772521973,0.0650531053543093
sum_pool,77,42,17,0.14548969268798828,0.17030906677246094
sum_pool,78,42,33,0.12782925367355347,0.1646188497543335
sum_pool,79,42,49,0.15773743391036987,0.21514892578125
sum_pool,68,43,1,0.08497065305709839,0.20639419555664062
sum_pool,69,43,17,0.17216598987579346,0.30887460708618186
sum_pool,70,43,33,0.13885423541069036,0.28912562131881714
sum_pool,71,43,49,0.12080323696136475,0.2961437702178955
sum_pool,72,43,1,0.02583324909210205,0.10568892955780029
sum_pool,73,43,17,0.13948547840118408,0.26478755474090576
sum_pool,74,43,33,0.1907817721366883,0.35368192195892334
sum_pool,75,43,49,0.14161640405654907,0.2852696180343628
sum_pool,76,43,1,0.14703333377838135,0.30457794666290283
sum_pool,77,43,17,0.14137285947799683,0.25500690937042236
sum_pool,78,43,33,0.16704922914505005,0.2919628620147705
sum_pool,79,43,49,0.08041083812713623,0.1506519317626953
sum_pool,68,44,1,0.005962491035461426,0.024869799613952637
sum_pool,69,44,17,0.06904429197311401,0.1302196979522705
sum_pool,70,44,33,0.10321849584579468,0.1795443296432495
sum_pool,71,44,49,0.0870206356048584,0.12931764125823975
sum_pool,72,44,1,-0.018958330154418945,-0.012102127075195312
sum_pool,73,44,17,0.060921669006347656,0.10755467414855957
sum_pool,74,44,33,0.0552318692207337,0.07575350999832142
sum_pool,75,44,49,0.04871487617492676,0.07606661319732688
sum_pool,76,44,1,0.08269280195236206,0.162040114402771
sum_pool,77,44,17,0.08080017566680908,0.14862120151519775
sum_pool,78,44,33,0.025705337524414062,0.05292367935180664
sum_pool,79,44,49,0.045802295207977295,0.07004892826080322
