split,variant,seed,scene_id,primary_id,ADE,FDE
test,sum_pool,42,72,1,0.7361260056495667,1.4135692119598389
test,sum_pool,42,73,17,0.7120693325996399,1.3011445999145508
test,sum_pool,42,74,33,0.5603321194648743,1.1093286275863647
test,sum_pool,42,75,49,0.9325423240661621,1.7723900079727173
test,sum_pool,42,76,1,0.7724184393882751,1.4428637027740479
test,sum_pool,42,77,17,0.7075228691101074,1.2984914779663086
test,sum_pool,42,78,33,0.7576791644096375,1.4696316719055176
test,sum_pool,42,79,49,0.7928876280784607,1.3055051565170288
test,sum_pool,43,68,1,0.5989254713058472,1.1876918077468872
test,sum_pool,43,69,17,0.7657946944236755,1.4221737384796143
test,sum_pool,43,70,33,0.5766401290893555,1.0413954257965088
test,sum_pool,43,71,49,0.7900286316871643,1.5478153228759766
test,sum_pool,43,72,1,0.5984130501747131,1.1966238021850586
test,sum_pool,43,73,17,0.6403120160102844,1.2707854509353638
test,sum_pool,43,74,33,0.4920600950717926,1.0104846954345703
test,sum_pool,43,75,49,0.8692167401313782,1.6670429706573486
test,sum_pool,43,76,1,0.7271454930305481,1.4301296472549438
test,sum_pool,43,77,17,0.674638032913208,1.3361579179763794
test,sum_pool,43,78,33,0.7159831523895264,1.4066483974456787
test,sum_pool,43,79,49,0.7182143330574036,1.2015314102172852
test,sum_pool,44,68,1,0.6534151434898376,1.307260274887085
test,sum_pool,44,69,17,0.7354898452758789,1.4870352745056152
test,sum_pool,44,70,33,0.7187551856040955,1.3950778245925903
test,sum_pool,44,71,49,0.82859867811203,1.676819920539856
test,sum_pool,44,72,1,0.7070590853691101,1.4310983419418335
test,sum_pool,44,73,17,0.7093518376350403,1.5183677673339844
test,sum_pool,44,74,33,0.5079517960548401,1.0520546436309814
test,sum_pool,44,75,49,0.898845911026001,1.7576497793197632
test,sum_pool,44,76,1,0.7887935042381287,1.5872516632080078
test,sum_pool,44,77,17,0.7348214983940125,1.530213713645935
test,sum_pool,44,78,33,0.6296288371086121,1.2729045152664185
test,sum_pool,44,79,49,0.7160806655883789,1.3269270658493042
