split,variant,seed,scene_id,primary_id,ADE,FDE
test,directional_sum,42,72,1,0.6587710380554199,1.2657891511917114
test,directional_sum,42,73,17,0.6642025709152222,1.2418060302734375
test,directional_sum,42,74,33,0.532379686832428,1.0753965377807617
test,directional_sum,42,75,49,0.886646032333374,1.7026684284210205
test,directional_sum,42,76,1,0.7356715202331543,1.3934047222137451
test,directional_sum,42,77,17,0.6786471009254456,1.2989795207977295
test,directional_sum,42,78,33,0.6891917586326599,1.323948621749878
test,directional_sum,42,79,49,0.7806382179260254,1.3379684686660767
test,directional_sum,43,68,1,0.5345672369003296,1.0008548498153687
test,directional_sum,43,69,17,0.7529527544975281,1.3802375793457031
test,directional_sum,43,70,33,0.6522007584571838,1.2174785137176514
test,directional_sum,43,71,49,0.749021589756012,1.4617860317230225
test,directional_sum,43,72,1,0.6271059513092041,1.176214575767517
test,directional_sum,43,73,17,0.5871648192405701,1.0815130472183228
test,directional_sum,43,74,33,0.4133998453617096,0.8453577160835266
test,directional_sum,43,75,49,0.8208618760108948,1.5833390951156616
test,directional_sum,43,76,1,0.6980848908424377,1.320435643196106
test,directional_sum,43,77,17,0.6722316741943359,1.2976754903793335
test,directional_sum,43,78,33,0.5904850363731384,1.1370033025741577
test,directional_sum,43,79,49,0.7360737919807434,1.2901867628097534
test,directional_sum,44,68,1,0.728590190410614,1.3181942701339722
test,directional_sum,44,69,17,0.7729606032371521,1.3897926807403564
test,directional_sum,44,70,33,0.7236265540122986,1.2919790744781494
test,directional_sum,44,71,49,0.7971884608268738,1.5206665992736816
test,directional_sum,44,72,1,0.759868323802948,1.3859995603561401
test,directional_sum,44,73,17,0.701193630695343,1.3086296319961548
test,directional_sum,44,74,33,0.5319204926490784,1.0352215766906738
test,directional_sum,44,75,49,0.9575819373130798,1.787349820137024
test,directional_sum,44,76,1,0.7978038787841797,1.4746642112731934
test,directional_sum,44,77,17,0.7377507090568542,1.3699707984924316
test,directional_sum,44,78,33,0.6585612893104553,1.2165839672088623
test,directional_sum,44,79,49,0.8188202381134033,1.3808634281158447
